location,iso_code,vaccines,last_observation_date,source_name,source_website
Afghanistan,AFG,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2023-01-22,World Health Organization,https://covid19.who.int/
Albania,ALB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2023-01-08,World Health Organization,https://covid19.who.int/
Algeria,DZA,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2022-09-04,World Health Organization,https://covid19.who.int/
Andorra,AND,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-12-18,World Health Organization,https://covid19.who.int/
Angola,AGO,Oxford/AstraZeneca,2023-01-01,World Health Organization,https://covid19.who.int/
Anguilla,AIA,"Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-06,World Health Organization,https://covid19.who.int/
Antigua and Barbuda,ATG,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-09-16,Ministry of Health,https://covid19.who.int/
Argentina,ARG,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2023-01-28,Ministry of Health,https://covidstats.com.ar/
Armenia,ARM,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, Sputnik Light, Sputnik V",2022-05-22,World Health Organization,https://covid19.who.int/
Aruba,ABW,Pfizer/BioNTech,2023-01-27,Government of Aruba,https://www.government.aw
Australia,AUS,"Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-26,Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2022-12-13,European CDC,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline_v202206.csv
Azerbaijan,AZE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2022-08-28,Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",2022-11-16,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,BHR,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2022-12-21,Ministry of Health,https://covid19.who.int/
Bangladesh,BGD,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2023-01-26,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
